,content,label,start
56,giày nhem_nhuốc ố bẩn + box nát,NEG,1
58,đủ số_lượng,POS,4
59,áo y hình chất_lượng sản_phẩm tuyệt_vời,POS,5
60,rất ưng_ý và chất_lượng,POS,5
61,mật để trong tủ_lạnh bị đóng sệt lại khoảng không trong chai ko di_chuyển như mật mình mua ở địa_phương,NEG,2
62,áo sờ chất rất thích,POS,4
63,váy quá đẹp mặc lên rất tôn da,POS,5
64,mình xài hộp màu xanh sao lại thấy không thơm nhỉ,POS,4
65,giao hàng nhanh giống hình,POS,5
66,shop tặng thêm bánh và 1 đôi tất lười nữa đáng yêu,POS,5
67,hàng chất_lượng tốt mang đi êm <3,POS,5
68,chất_lượng sản_phẩm tuyệt_vời nhưng màu k giống hình minh đặt,POS,4
69,người giao hàng rất có tâm đấy ạ,POS,5
70,hàng tốt i như trong hình,POS,5
71,giao hàng khá chậm,NEG,2
73,đúng hàng loại 1 có khác từ cách đóng_gói đến chất_lượng sản_phẩm quá tốt,POS,5
74,chất_lượng sản_phẩm tuyệt_vời ngon bổ re_shop a,POS,5
75,màn_hình to và khá là hd,POS,5
76,áo khá mỏng và cụt hơn mình nghĩ đóng_gói sản_phẩm ok,NEG,2
77,quần chưa kịp mặc đã bục 1 đoạn,NEG,2
79,mình mua sp chất giống ảnh gói hàng đẹp giao hàng nhanh giá_cả hợp_lý,POS,4
80,chất áo thì k phải lăn tănnn luôn nhưng form hơi to,POS,4
81,shop còn có quà tặng kèm và thẻ tích điểm,POS,5
82,mạng chạy chậm quá,NEG,1
83,vừa khít bụng mình mà không bị hằn cấn,POS,4
84,mua lần 2,POS,4
85,chất_lượng sản_phẩm tốt,POS,5
86,rất ưng_ý,POS,5
87,hàng thì siêu yêu siêu mềm mịn,POS,5
88,chất_liệu vải tốt so với giá ( 100 k ),POS,4
90,đóng_gói kĩ áo còn lại đẹp,POS,5
91,giao nhầm hàng ib_shop k trả_lời,NEG,1
92,màu bạc rất sáng lấp_lánh hơn màu hồng,POS,4
93,chất áo dày_dặn form áo đẹp,POS,5
94,ống_quần bên to bên nhỏ size s và l bằng nhau,NEG,2
95,đóng gói gọn_gàng đẹp_đẽ chất_lượng sản_phẩm tuyệt_vời rất đáng tiền thời_gian giao hàng rất nhanh,POS,5
96,chất_lượng sản_phẩm tương_xứng giá tiền mua mặc thay_đổi kiểu thì ok,POS,5
98,chất_lượng sản_phẩm tuyệt_vời,POS,5
99,shop phục_vụ rất tốt hết mẫu mình đặt còn gọi lại để đổi sang loại khác dù giá cao hơn nhưng vẫn lấy = giá sale hàng rất oke thanks_shop,POS,5
100,ren hơi mềm nên làm_dáng áo ko được cứng nâng ngực tạm đc,POS,4
101,giao hàng lâu,NEG,2
102,sz 34 mà khung ngực nhỏ quá,NEG,2
103,đóng gói sản_phẩm rất đẹp và chắc_chắn,POS,5
104,hàng y hình rất đẹp ạ,POS,5
105,thái_đô kém thời_gian giao hàng rất chậm shop phục_vụ rất kém,NEG,1
106,bàn_tay mỏng nên ko nâng lắm,NEG,2
107,đẹp lắm đấy,POS,4
108,áo giống hình chất vải hơi nóng,POS,4
109,đóng gỏi không cẩn_thận shop nên đong hộp cứng đỡ bị móp bẹp túi,NEG,1
111,đóng gói sản_phẩm rất đẹp và chắc chắc,POS,5
112,thời_gian giao hàng rất nhanh dầy dặn đẹp,POS,5
113,có giống hình nhưng vải rất mỏng không đúng như trong hình giá tiền tương_đương với sản_phẩm,NEG,2
114,chủ_shop tư_vấn rất nhiệt_tình đầm lên form rất đẹp hợp với dáng mình còn đc tặng kèm qà,POS,5
115,váy còn đẹp và chuẩn hơn trong hình nữa,POS,5
116,sz 2 bộ xanh và hồng ko giống nhau,NEG,1
117,áo rẻ đẹp phù_hợp giá tiền,POS,4
118,áo vải cực đẹp y hình có điều to hơn mong_đợi,POS,5
119,chất_lượng sản_phẩm tuyệt_vời,POS,5
120,chất_lượng sản_phẩm tuyệt_vời đồ rất đẹp sẽ ủng_hộ shop tiếp,POS,5
121,sản phản mới chất_lượng sản_phẩm tuyệt_vời,POS,5
122,giao hàng nhanh,POS,5
123,rất ngon nhưng mà theo em thì nên xé nhỏ khô lại,POS,4
124,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh,POS,5
125,chất ok á nhưng rep ib thì hơi lâu,POS,4
126,luôn ủng_hộ shop,POS,5
127,âm_thanh rất dở,NEG,1
128,xấu và nhìn phom áo chán_đời luôn,NEG,1
129,chất_lượng sản_phẩm tốt đáng đồng_tiền,POS,5
130,chuẩn quần vải đẹp ôm gọn chân mà vải còn mát nữa,POS,5
131,shop vận_chuyển hàng nhanh váy khá ổn mà_còn đc tặng quà nữa hihi lắc tay nhỏ nhỏ xinh_xinh khi nào đeo cho bé nhà,POS,5
132,nhìn cái áo cũ màu không đẹp vãi mỏng không đág tiền lắm,NEG,2
133,đập vào mắt là 175000_₫ làm mất hứng sản_phẩm được màu đậm hơn hình áo có mùi như thuốc_tẩy giặt mãi ko hết,NEG,2
134,chuẩn hàng bitis,POS,4
135,màu ko đẹp như hình chup,NEG,1
136,hàng đẹp giao nhanh,POS,5
137,chất_lượng sản_phẩm tuyệt_vời vải ok thích_hợp cho những ai thích mang form rộng lắm nè,POS,5
138,hợp với giá 130 k,POS,5
139,form áo xấu lắm mặc lên như tá_điền chỗ tà áo bên dưới rất dài chứ ko ngăn như ảnh mẫu mặc bảo sao thấy quay clip gập đôi áo vào,NEG,2
140,thời_gian giao hàng rất nhanh,POS,5
142,gối hơi nhỏ,NEG,2
143,áo nhìn xinh_shop nói_chuyện cực đáng yêu,POS,5
145,mùi len hơi nặng đã giặt nhưng vẫn còn nặng mùi,NEG,1
146,vải oke lắm luôn,POS,5
147,sản_phẩm tạm được đóng_gói không đẹp,NEG,2
148,chưa thấy shop nào hãm l thế này,NEG,1
149,sản_phẩm rất ok kể_cả áo trong của nữ chất vải cũng mềm đẹp mang lên sang chảnh tui mình diện đi sinh_nhật ai cũng khen đẹp_đôi nói_chung là rất hài_lòng,POS,5
150,tầm giá là sử_dụng tot,POS,5
151,không dùng được,NEG,2
152,chất_lượng sản_phẩm tạm được áo hơi ngắn so với hình,NEG,2
153,sản_phẩm tôt giao hang nhanh,POS,4
155,k con duong nao de che,NEG,1
156,chất vải ok dày_dặn,POS,5
157,ưng,POS,4
159,áo dep_lam_shop ui mình rat thix,POS,5
160,thời_gian giao hàng nhanh,POS,5
161,rất ưng hiii,POS,5
162,k giao,NEG,2
163,màu_sắc k giống hình,NEG,2
164,áo vải quá xấu,NEG,1
165,nói_chung là mình mua mặc đi làm ok đáng tiền,POS,5
166,shop nhiệt_tình giúp_đỡ chất_lượng quần thì khỏi chê dài rộng gì cũng vừa_ý mình hết,POS,5
167,yêu_cầu đổi trả shop yêu_cầu gửi ảnh gửi cho r im_lặng,NEG,2
168,thời_gian giao hàng rất nhanh rất đáng tiền shop phục_vụ rất tốt đóng_gói sản_phẩm rất đẹp và chắc_chắn chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn,POS,5
169,hàng kém chất_lượng và không như quảng_cáo,NEG,2
170,shop phục_vụ rất tốt,POS,5
171,nói_chung là không thất_vọng đâu,POS,4
172,chất_lượng sản_phẩm tuyệt_vời,POS,5
175,sờ chất quần thì ok luôn,POS,4
176,vay đẹp kỹ tu van nhiet tinh,POS,5
177,y hình,POS,5
178,nt ko trả_lời,NEG,2
179,chất_lượng vừa với giá tiền,POS,4
180,sẽ ủng_hộ shop dài,POS,5
181,hàng chất_lượng hơn giá sản_phẩm nhak mọi người,POS,4
182,áo rách ntn ko hiểu phải mặc ntn luôn,NEG,1
183,nhưng cũng phù_hợp với giá tiền mặc vẫn ok,POS,4
184,đồ mặc vừa thun hơi ôm dễ thấy bụng,POS,4
185,chọn màu này lấy màu kia,NEG,2
186,hàng tương_đối ổn mình khá hài_lòng,POS,4
187,inbox ko thèm trả_lời,NEG,2
188,mình mua 2 chai về tàng_trữ dần vì loại này vừa tẩy sạch vừa không dễ gây mụn như dầu_tẩy_trang,POS,5
189,mất uy_tín,NEG,1
190,màu ngoài ko giống trong ảnh nhưng chất_lượng khá ok với giá,POS,4
191,rất ưng,POS,5
192,shop giao hàng nhanh gửi đúng màu áo giống hình mặc_dù chất vải ko đẹp như mong_muốn nhưng vẫn cho shop 5 *,POS,4
193,shop phục_vụ rất tốt thời_gian giao hàng rất nhanh,POS,5
194,giày đẹp lắm giao hàng lâu quá mun điên,POS,4
195,shop giao siêu nhanh,POS,5
196,giao hàng nhanh,POS,5
197,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn rất đáng tiền thời_gian giao hàng tạm được đáng đồng_tiền,POS,4
198,chất_lượng sản_phẩm tuyệt_vời,POS,5
199,vừa_ý,POS,4
200,4 quần size l nhưng lại bị cái to cái bé còn với giá tiền nvay thì cũng k mong chất đẹp hơn,POS,4
201,shop phục_vụ rất tốt thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh,POS,5
202,nhưng ko sao tks_shop,POS,4
203,chất_lượng sp tốt nhưng giao hàng chậm onl cũng chẳng trả_lời gì,POS,4
204,vài thun rất mỏng ko fai len,NEG,1
205,đóng gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt,POS,5
206,đóng gói sản_phẩm chắc_chắn shop giao hàng nhanh nhận ngay 20/10 về sp thì chất vải cũng đc hợp mặc mùa thu áo đẹp nhưng mà shop nên kiểm_tra kĩ sp đi ạ áo thì cứ vài chỗ lại có vết bẩn xong lại có màu xanh_xanh ở gần đuôi áo chưa kể lúc mở_hàng ra thì bị ngay cái dằm suýt đâm vào tay,POS,4
207,shop giao hàng cực nhanh lun trưa hom qua đặt mà trưa nay đã giao,POS,5
208,thêm tin_tưởng vào shoppe,POS,4
209,áo vải đẹp mịn mát,POS,5
210,chất_lượng sản_phẩm tuyệt_vời thời_gian giao hàng rất nhanh,POS,5
211,chủ shop nhiệt_tình,POS,5
212,rất đáng tiền,POS,5
213,sản_phẩm rất đẹp,POS,5
214,hơi thô,NEG,2
215,vãi rất mỏng,NEG,2
217,đẹp lại rẻ,POS,5
218,chất_lượng sản_phẩm tuyệt_vời ưng sẽ ủng_hộ shop dài giao hàng nhanh,POS,5
219,quay lại sửa đánh_giá sau khi tung_tăng mặc váy diện muôn nơi ~ váy chất k có gì để chê tuyệt_vời dày_dặn mặc đúng kiểu chùm chân mình thích che được mông cạp cao mặc lên eo ót với cả chân dài cả mét ) ) tuyệt_vời cho 1 chiếc váy 159 k,POS,5
220,ao mặc đẹp chất đẹp thời_gian giao hàng rất nhanh,POS,5
221,giao hàng rất nhanh aó đẹp nói_chung rất hài_lòng,POS,5
222,đặt xanh đậm mà giao mảu xám thất_vọng quá màu thấy củ xèm,NEG,2
223,quả ko đẹp chất_lượng sản_phẩm tạm được,NEG,2
224,áo chất đẹp shop phục_vụ tốt,POS,4
225,đóng gói sản_phẩm chắc_chắn,POS,5
226,tôi rất hài_lòng về sản_phẩm,POS,5
227,chất_lượng sản_phẩm tuyệt_vời rất ưng_ý_đồ đẹp,POS,5
228,shop lam ăn không uy_tín sảm phẩm thì dỗm_chát thì chặn,NEG,1
229,hàng rất ok,POS,5
231,đúng hình_ảnh đẹp,POS,5
232,mẫu cũng đa_dạng,POS,5
233,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn,POS,5
234,hết hàng thì phải báo với khách chứ đằng này vẫn giao,NEG,2
235,ban_đầu mình nghĩ là ren mỏng nhưng nhận đc thì thấy ren đẹp hơn mình tưởng_tượng,POS,5
236,đẹp vừa_ý,POS,4
237,tuyệt ạ giày nhẹ êm,POS,5
238,đúng mỗi 1 màu,NEG,2
239,sản_phẩm chất_lượng,POS,4
240,cổ áo bị rách_shop nên ktra kĩ trc khi giao mình 40 kg cao 1 55 m mà mặc hơi chật,NEG,1
241,đóng gói kỹ,POS,5
242,gói hàng cẩn_thận,POS,5
243,cảm_ơn shop nhìu,POS,4
244,đây là lần thứ 2 mua sp của shop giày đẹp cách phục_vụ tốt sẽ ủng_hộ shop nhiều nữa,POS,5
245,son lên màu đẹp không bị khô_cứng và lộ vân môi như màu 12 rất đáng tiền,POS,5
246,cảm_ơn shop nhé,POS,4
247,giống hình mà vải hơi cứng bạn ạk,POS,4
248,chất áo đẹp lắm yêu shop,POS,5
249,quần của shop quá đẹp luôn,POS,5
250,minh lay sz lớn nhất cho rộng roi sz xxl mà nhìn thay bé hơn quần củ chồng mình 72 kg sp chất thì nhìn tốt đóng_gói sản_phẩm rất đẹp và chắc_chắn,POS,5
251,chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn thời_gian giao hàng rất nhanh rất đáng tiền,POS,5
253,đặt 2 quần dài mà đóng_gói cho 1 quần ngố,NEG,2
254,khuyến_khích cho 5 *,POS,5
255,nét chữ không được rõ sp có mùi hơi kinh,NEG,1
256,mặc phối với chân_váy hay jean đều đẹp,POS,5
257,nhưng ghtk thu tròn 110_000 đ,NEG,2
259,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn sácg hay,POS,5
260,đóng gói sp chắc_chắn giao hàng rất nhanh,POS,5
261,chất_lượng sản_phẩm kém không giống như mô_tả,NEG,2
262,đáng tiền,POS,5
263,váy mặc siêu xinh,POS,5
264,thời_gian giao hàng rất nhanh hàng y hình,POS,4
265,vải thì rất đẹp,POS,5
267,gooddd,POS,5
268,áo rộng hơn hình nhiều,NEG,2
269,đóng gói sản_phẩm rất đẹp và chắc_chắn,POS,5
271,áo from rộng như ảnh,POS,5
273,ship ko đúng màu,NEG,1
274,vãi nĩ dày nóng,NEG,2
275,shop phục_vụ rất tốt chất_lượng sp ok,POS,5
276,ngon đấy nhưng đang ăn thì ăn phải cọng thun,NEG,2
277,khá ok sẽ ủng_hộ shop tiếp,POS,4
278,đẹp lắm nha,POS,5
279,áo vừa quá,POS,5
280,thời_gian giao hàng nhanh,POS,4
281,áo đẹp lắm b ơi,POS,5
282,màu thì ko thực_sự giống trong hình,NEG,1
283,chất_lượng vải kém ko như hình,NEG,2
284,đã quay video và chụp ảnh nhưng shop không phản_hồi,NEG,2
285,quần thoải_mái vừa vặn đẹp shop phục_vụ rất tốt,POS,5
286,vận_chuyển hàg k nhắt lót vào cặp nên cắp bị méo mất dág,NEG,2
287,giao 2 sp trat lat het 2 sp minh la de chiu nhat hi ua hang hoi that vong,NEG,2
289,đóng gói sản_phẩm rất đẹp và chắc_chắn,POS,4
290,chất dc,POS,5
291,chất_lượng sản_phẩm tuyệt_vời hợp với giá tiền sờ siêu thích màu random nhưng đẹp lắm ạ,POS,5
292,mật_ong loãng ko đặc sánh lắm,NEG,2
293,sẽ tiếp_tục ủng_hộ shop dài_lâu,POS,5
294,dép đi êm và mềm,POS,4
296,chất tạm dc tương sứng giá tiền,POS,5
297,giao hàng và chăm_sóc tận_tình,POS,5
300,thật_sự mình quá ưng cho 1 sp rẻ mà chất_lượng,POS,5
301,lọc ổn nhưng hi_vọng shop đóng hàng kĩ hơn,POS,4
303,giao hàng nhanh,POS,5
304,thời_gian giao hàng nhanh chất_lượng sản_phẩm tốt đóng_gói sản_phẩm chắc_chắn shop phục_vụ khá tốt,POS,5
305,áo màu_sắc tươi_sáng vải chất ạ,POS,5
306,shop rất thái_độ với khách_hàng,NEG,1
307,bị chật ngắn,NEG,2
308,shop phục_vụ rất tốt thời_gian giao hàng rất nhanh chất_lượng sản_phẩm tuyệt_vời rất đáng tiền,POS,5
309,được tốt,POS,5
310,chất_lượng sản_phẩm tuyệt_vời,POS,5
311,chất_lượng sp qá tệ,NEG,1
312,chủ shop nhiệt_tình dễ_thương,POS,5
313,giao hàng nhanh,POS,4
314,đàn nhìn cưng lắm,POS,4
315,chất_lượng sản_phẩm tuyệt_vời quần hơi mỏng ạ,POS,4
316,chất_lượng sản_phẩm rất kém shop phục_vụ rất kém rất không đáng tiền shop phục vu qua kem nhan tin ve so tien se hoan lai thi khong thay tra lỏi gì het,NEG,1
317,nhưng khá ok rồi,POS,4
318,hihi ưng lắm ạ giày đẹp lắm nha m n đi êm mà dễ phối đồ cực,POS,5
319,chả ra gì cả chất_lượng kém,NEG,1
321,chất rất oke,POS,5
322,rất ưng mặc thoải_mái mà chất vải rất thích,POS,5
323,nhưng mà shop nói có tặng kèm dây_đàn mà mình nhận được không có ạ,NEG,2
324,shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh rất ưng,POS,5
325,rất ưng_ý ) sẽ tiếp_tục mua để ủng_hộ shop,POS,5
326,chứ nhận hàng hết cả hồn ngâm xà_bông chà mãi vẫn k sạch,NEG,1
327,ai thik mua chọn size lớn hơn 2 size ok hơn,POS,4
328,đẹp hút hồn,POS,5
329,giao hàng cũng nhanh ^ ^,POS,4
330,giá còn rẻ,POS,4
331,đóng gói sản_phẩm rất đẹp và chắc_chắn chất_lượng sản_phẩm tốt đóng_gói sản_phẩm rất đẹp và chắc_chắn,POS,5
332,sản_phẩm bị ỉu không giòn và cũng không có thời_hạn sử_dụng trên bao_bì,NEG,2
333,không tốt chất_liệu sấu,NEG,2
334,chất_lượng sản_phẩm tuyệt_vời shop này uy_tín quá,POS,5
335,vải kate thun mỏng nhẹ mát,POS,5
336,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt,POS,5
337,chất vải được,POS,4
338,sản_phẩm đẹp ổn chắc_chắn mà lại rẻ hơn so vs mình mua ngoàí_shop đắt mà mặc chưa đc 1 hôm đã đứt khuy,POS,5
340,đóng gói đẹp giao đúng hàng sp chất_lượng giá tốt rất hài_lòng shop ơi sẽ tiếp_tục ủng_hộ nè,POS,5
341,tuy_nhiên mình mua 2 cái thì cái size l ở tay_áo bị viết số màu xanh lên chỗ tay_áo mình giặt ko ra,NEG,1
342,shop đóng_gói cẩn_thận có kèm 1 tờ thiệp và 1 tờ_rơi giới_thiệu nữa,POS,5
343,chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt vờio,POS,5
344,ko ưng y_lam,NEG,2
345,shoppe nên coi lại chọn_người bán cho c9s kinh_nghiệm chút,NEG,2
346,chất_lượng sản_phẩm tuyệt_vời,POS,5
347,giờ chẳng biết làm gì với cái áo đó,NEG,1
348,ncl rất ưng,POS,5
349,thời_gian giao hàng rất nhanh,POS,5
350,kem thẩm_thấu rất nhanh thoa xong sáng dậy có cảm_giác căng da và mịn hơn còn việc chống lão_hóa thì phải xài hết mới biết kết_quả,POS,4
352,shop phục_vụ rất tốt,POS,5
354,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn,POS,5
355,đóng gói sản_phẩm tốt cần thêm hộp đựng sẽ tốt hơn,POS,4
356,chất_liệu vải thì cũng tạm được chán cái đường chỉ 1 cái thì bục chỉ ở túi còn 1 cái máy cả vào chun,NEG,2
357,đóng gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn áo khá to so với mình nên bạn nào muốn mua size l mà tướng người nhỏ_bé thì nên chọn soze m nha được tặng móc khóa hình jinmin thích lắmm > <,POS,5
358,hàng chuẩn uy_tín,POS,4
360,thời_gian giao hàng rất nhanh,POS,5
361,đặt hàng ko giao hàng là sao vậy á,NEG,1
362,hơi mỏng ) ) k như mong_đợi,NEG,2
363,ủng_hộ shop ngàn sao luôn nè,POS,5
364,hic,NEG,2
365,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn chủ s nhiệt_tình vui_tính,POS,4
366,giao hàng nhanh,POS,4
367,chất_lượng khá tốt,POS,4
368,vải dày và co_giãn tốt,POS,4
369,nhưng nếu màu hồng tươi thì ok,POS,4
370,vải rất đẹp,POS,5
372,áo này dày hơn và chất đẹp hơn cái màu trắng mk mua,POS,4
374,chất_lượng sản_phẩm tuyệt_vời,POS,5
375,nỉ ấm và dày,POS,5
376,có chút trục_trặc nhưng sửa lại thì vẫn đẹp,POS,4
377,chất_lượng sản_phẩm tuyệt_vời,POS,5
378,chất áo đẹp lên dáng ok mỗi tội mặc hơi ngứa 1 tí đóng_gói sản_phẩm rất đẹp và chắc_chắn thời_gian giao hàng rất nhanh,POS,5
379,giao lâu,NEG,2
381,giao hàg thì thôi nhah khỏi nói,POS,4
382,đóng gói sản_phẩm rất đẹp và chắc_chắn thời_gian giao hàng rất nhanh vải áo hơi mỏng,POS,4
383,muốn làm đại_lý sỉ,POS,5
385,size hơi to nhỉ 45 kg 1 m50 size s rồi mà hơi rộng,POS,4
386,chất_lượng sản_phẩm tạm được trượt cơ_học khá dít gây khó_khăn cho sử_dụng,NEG,2
387,nhưng áo khiến mình hơi thất_vọng,NEG,2
388,mặc khá xinh nhưng chất vải xấu mỏng cứng,NEG,2
389,chất_lượng sản_phẩm phù_hợp vs giá,POS,4
390,mới dùng chất_lượng ok,POS,5
391,thời_gian giao hàng rất nhanh,POS,5
392,mua ba cái thấy ok,POS,4
393,đẹp quá ủng_hộ shop lâu_dài,POS,5
394,áo mặc ok lắm mọi người cứ tin_tưởng mua hàng nhé,POS,5
395,dù_sao với 160 k thì chất_lượng như vậy là quá được,POS,4
396,đẹp dã_man thế này,POS,5
397,áo xinh lắm nhé mấy nàng với giá này thì áo vậy là đẹp rồi,POS,4
398,khô gà bị mặn cả nhà mình đều kêu vậy,NEG,1
399,giao hàng nhanh,POS,5
400,áo rất ấm,POS,5
401,hơi thất_vọng,NEG,2
402,chất_lượng sp tuyệt_vời,POS,5
403,huhuu sr vì bh mới xác_nhận đã nhận hàng ( quên_béng đi mất,NEG,2
404,c chất_lượng sản_phẩm tuyệt_vời rất đáng tiền thời_gian giao hàng rất nhanh,POS,5
406,sản_phẩm tốt phù_hợp với giá tiền,POS,5
409,áo cực đẹp nhé vải ko dày lắm đâu nên mình nghĩ vẫn mặc trong mùa hè đc cơ_mà lần sau em mua shop đừng gọi mẹ em nhé ) ) ) ),POS,5
410,vải mỏng quá mỏng,NEG,2
411,chất thích mà size hơi nhỏ so với size bthg,NEG,2
412,hàng đẹp chất_lượng,POS,5
413,sp không có hộp nhé,NEG,1
414,rất đáng tiền,POS,4
415,nhìn ưng lắm,POS,4
416,chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời,POS,5
417,ưng lắm shop à,POS,5
419,còn về hàng thì okie luôn ),POS,5
420,m chua thử nhưng thấy chất rất đẹp,POS,5
422,xấu quắc kg giống hình cảm_thấy khó_chịu,NEG,1
423,3 in 1 mà mở hộp ra có mỗi 2 len thiếu mất len macro,NEG,2
424,chất_lượng sản_phẩm rất kém khong co dich vụ la sao chất_lượng sản_phẩm tốt,POS,5
426,dat xám gjao xah thất vọg về sp,NEG,2
427,sản_phẩm tốt giá rẻ,POS,4
428,nhưng good,POS,4
429,thất_vọng kinh_khủng,NEG,1
430,vậy là oke so với giá tiền rồi,POS,5
431,chất_lượng sản_phẩm tuyệt_vời thời_gian giao hàng rất nhanh rất đáng tiền,POS,5
432,hàng đẹp đúng y hình,POS,4
433,đóng gói sản_phẩm rất chắc_chắn thời_gian giao hàng rất nhanh,POS,5
434,chất_lượng sản_phẩm không được tốt bằng sản_phẩm mình mua trực_tiếp ở các cửa_hàng,NEG,1
435,tks shop,POS,5
436,thời_gian giao hàng nhanh,POS,5
437,shop phục_vụ rất tốt,POS,5
438,form ko đẹp ko định_hình tốt vòng 1,NEG,1
439,ống tay hơi nhỏ,NEG,2
440,đc shop lì_xì nữa,POS,5
441,sản_phẩm chất_lượng quá tệ,NEG,1
442,shop giao hàng nhanh còn phục_vụ nhiệt_tình nữa,POS,5
443,biết đẹp thế mình mua thêm cái màu đỏ nữa,POS,5
444,chỉ bung hết ra,NEG,2
445,5 sao nha,POS,5
447,shop chăm_sóc khách_hàng rất chu_đáo,POS,5
